,0.1% DMSO ,1 uM Verapamil 
0,494.448284868536,371.076718850133
0.0125,486.926223074911,368.334618208517
0.025,480.353222996516,366.978302840857
0.0375,474.356108202443,365.805801104972
0.05,468.828986521967,363.907593189139
0.0625,461.900551518865,363.23802946593
0.075,455.662021211324,362.231594524602
0.0875,449.997191011236,361.26989396035
0.1,444.720319634703,360.411118293471
0.1125,439.509068497975,359.765730078305
0.125,435.29592376919,359.219782247647
0.1375,431.269023420239,358.729584759086
0.15,427.141860259694,358.163938973648
0.1625,423.85658777817,358.143664320119
0.175,421.19161358811,357.3563505269
0.1875,418.879918468628,356.876599295383
0.2,416.361101274788,356.516514016098
0.2125,414.724691686629,356.403557531962
0.225,412.617795932866,355.729837217906
0.2375,411.073196699494,355.465734395258
0.25,409.155020864778,355.508570369684
0.2625,407.312405647811,355.377029409036
0.275,405.807473815019,354.959822255138
0.2875,405.746212796293,354.422920140819
0.3,404.097009611962,354.955497867606
0.3125,403.861386138614,355.045269016698
0.325,402.510135135135,357.078210224646
0.3375,401.902979101823,366.810249307479
0.35,401.275889679715,376.598914742941
0.3625,400.53438587102,386.576792746589
0.375,399.751159058488,397.266015696295
0.3875,398.912768984528,407.582157487483
0.4,398.826432268428,413.746817024372
0.4125,398.519985724483,414.839100189719
0.425,398.120962691241,414.89316971939
0.4375,397.758989917016,414.623247399367
0.45,396.737142347803,413.947992040521
0.4625,396.065413064789,411.97561856601
0.475,396.228239499553,410.463643753952
0.4875,395.773551209929,408.607485084072
0.5,396.487230038534,407.22913078945
0.5125,395.959311704607,404.867921114529
0.525,394.998391133357,402.555083596927
0.5375,395.571966977746,399.436759786638
0.55,395.339627707177,397.242558581381
0.5625,394.387669145981,394.971361247055
0.575,394.3518303052,392.646370235935
0.5875,394.326960871896,389.187386569873
0.6,394.077887197851,387.610863027431
0.6125,393.354489302659,384.875796178344
0.625,393.821569683908,381.844023323615
0.6375,393.368463467049,379.08554249795
0.65,393.379220779221,376.873971099323
0.6625,392.917441029307,374.719233941171
0.675,393.338586907853,372.907315731573
0.6875,393.408091863282,370.291479409337
0.7,393.016474169576,369.187033796851
0.7125,393.10289504347,367.034374712008
0.725,399.121027660908,365.729099456171
0.7375,420.373741872272,364.150962512665
0.75,442.717660591046,362.841338618973
0.7625,457.672929346388,362.221996678354
0.775,473.670760593034,361.186841618924
0.7875,496.549322848405,360.838092597727
0.8,515.507594826838,360.366993706035
0.8125,525.910765487879,359.372685185185
0.825,531.147000259718,358.548825596449
0.8375,535.047141250757,358.070786620958
0.85,537.768772142055,357.822158512901
0.8625,540.647262347548,356.645458736745
0.875,541.861765467253,356.957324427127
0.8875,542.57349771532,356.132778548313
0.9,543.011991028295,355.820137214908
0.9125,543.89404947241,356.372196478221
0.925,542.891845196959,355.609651972158
0.9375,542.215889464594,355.836089946107
0.95,539.880403831219,355.035806809771
0.9625,538.26792811474,355.423445198475
0.975,535.679317216879,354.950088298169
0.9875,532.565563142882,354.378308347214
1,529.265508899257,354.014524932926
1.0125,525.242434722462,357.581733889662
1.025,522.242232251345,367.303204297092
1.0375,517.657566302652,376.001473025226
1.05,512.962603036876,385.724286237189
1.0625,508.572420376638,397.280645749726
1.075,503.768346826848,406.349226569609
1.0875,498.117974111719,412.884266811673
1.1,493.023606271777,414.873494521416
1.1125,488.239563318777,414.909378674143
1.125,481.23184235766,413.936579636824
1.1375,476.147231213367,413.509210763952
1.15,469.776484996938,412.05730296457
1.1625,463.261330761813,410.016862037872
1.175,456.913298851582,408.922965641953
1.1875,451.357757863293,406.986333604851
1.2,446.211303507076,404.193350198771
1.2125,440.172608045066,402.546335718815
1.225,435.177948175568,399.894632026795
1.2375,431.71851524525,397.47795382526
1.25,426.918120923674,394.700698792994
1.2625,424.058636524196,392.427390791027
1.275,422.083193053956,389.695612597852
1.2875,418.389331210191,387.305246857351
1.3,415.17365216624,384.744969498316
1.3125,413.545784626284,381.974122165326
1.325,412.204206602769,379.432538595049
1.3375,410.628766394895,377.634425329429
1.35,409.016220528275,374.446878723989
1.3625,407.50753947135,372.414801907557
1.375,405.873169432857,370.668413793103
1.3875,405.593900481541,368.28593735648
1.4,403.921052631579,366.656819436775
1.4125,403.742406698138,364.991164289001
1.425,402.389353747552,363.617765937902
1.4375,401.749666399787,363.426146323462
1.45,401.085546770898,361.645250368188
1.4625,400.38115192582,360.881952117864
1.475,399.618241738666,360.751573491299
1.4875,398.859305431879,359.889988897113
1.5,398.709991079393,359.21270896832
1.5125,398.517512508935,358.544874757371
1.525,397.546607142857,358.067358473084
1.5375,397.225806451613,357.215943771386
1.55,397.195047823366,357.100185013876
1.5625,396.754113018598,356.878299527647
1.575,396.039070183281,356.321527649343
1.5875,396.220087570369,356.247522918789
1.6,395.461799660441,355.783813850005
1.6125,395.716928852342,354.955927192091
1.625,394.916279485347,355.314759873911
1.6375,394.555774395703,355.291079376855
1.65,394.230082172204,354.588496804668
1.6625,394.589573629523,354.122075279756
1.675,393.964186587877,354.568605622043
1.6875,393.867149758454,354.347478874547
1.7,393.541125928578,355.069926831527
1.7125,393.310076130766,361.310121307528
1.725,393.938335876492,372.19654407688
1.7375,393.653249663828,380.402696258254
1.75,394.652962731254,391.723102280011
1.7625,419.194283679103,401.37847190602
1.775,441.923138297872,409.798546115402
1.7875,457.948484580719,413.975353388909
1.8,468.194031164715,414.63647889875
1.8125,485.329668411867,414.345594215996
1.825,512.225736380224,413.43901998011
1.8375,523.30027715226,411.803608479928
1.85,529.602474262479,410.755714156654
1.8625,533.330103806228,409.224871308588
1.875,535.993614083535,407.648382432677
1.8875,538.829571984436,404.967902350814
1.9,540.903621747774,403.593017997649
1.9125,542.268387430939,401.309038165171
1.925,541.783143939394,398.2265787334
1.9375,541.693024057946,395.564622769677
